UID,UID_R,Claim_No,LossDate,REPORTING_DT,As_At_Date,Payment_Type,Claim_OS,OS_S&S,Claim_OS (Net of S&S),At Fault/ Not At Fault,Location_Of_Accident,Claim_Type,Sub_Claim_Type,At Fault/ Not At Fault Mapping
01/11B/2023/000258-2092705,01/11B/2023/000258-10596792,CLM/01/11B/2024/00004,15-07-2024,15-07-2024,31-12-2024,Payment,701,0,701,75,RIYADH,TP,Third Party Property Damage,Yes
01/11B/2024/000206-2107662,01/11B/2024/000206-10720024,CLM/01/11B/2024/00006,03-12-2024,03-12-2024,31-12-2024,Payment,701,0,701,100,RIYADH,TP,Third Party Property Damage,Yes
01/20/2021/000010-1986248,01/20/2021/000010-9738919,CLM/01/20/2022/00045,07-05-2022,07-05-2022,31-12-2024,Payment,9792,0,9792,75,JEDDAH,TP,Third Party Property Damage,Yes
01/20/2022/000054-2026088,01/20/2022/000054-10302187,CLM/01/20/2022/00374,01-12-2022,03-12-2022,31-12-2024,Payment,7500,0,7500,100,JEDDAH,TP,Third Party Property Damage,Yes
01/20/2022/000021-2031741,01/20/2022/000021-10164477,CLM/01/20/2023/00035,06-12-2022,09-01-2023,31-12-2024,Payment,2881,0,2881,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/000014-2042668,01/20/2023/000014-10417744,CLM/01/20/2023/00393,29-03-2023,02-04-2023,31-12-2024,Payment,501,0,501,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2022/000052-2052895,01/20/2022/000052-10300731,CLM/01/20/2023/00713,01-01-2023,05-07-2023,31-12-2024,Payment,2222,0,2222,100,RIYADH,TP,Third Party Property Damage,Yes
01/20/2022/000031-2054222,01/20/2022/000031-10207750,CLM/01/20/2023/00756,19-06-2023,19-07-2023,31-12-2024,Payment,165,0,165,100,KHOBAR,TP,Fees - Collection (offices),Yes
01/20/2022/000051-2055916,01/20/2022/000051-10298527,CLM/01/20/2023/00829,22-04-2023,06-08-2023,31-12-2024,Payment,2222,0,2222,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2022/000051-2057111,01/20/2022/000051-10299396,CLM/01/20/2023/00891,07-08-2023,22-08-2023,31-12-2024,Payment,5489.25,0,5489.25,100,JEDDAH,TP,Third Party Property Damage,Yes
01/20/2022/000051-2061707,01/20/2022/000051-10299108,CLM/01/20/2023/01074,07-09-2023,01-10-2023,31-12-2024,Payment,2500,0,2500,100,RIYADH,TP,Third Party Property Damage,Yes
01/20/2023/001051-2072709,01/20/2023/001051-10626785,CLM/01/20/2024/00009,04-12-2023,02-01-2024,31-12-2024,Payment,800,0,800,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/000003-2074329,01/20/2023/000003-10343310,CLM/01/20/2024/00096,31-12-2023,16-01-2024,31-12-2024,Payment,2222,0,2222,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/000085-2075085,01/20/2023/000085-10523883,CLM/01/20/2024/00132,14-12-2023,22-01-2024,31-12-2024,Payment,1112.3,0,1112.3,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/000076-2076482,01/20/2023/000076-10508843,CLM/01/20/2024/00218,05-10-2023,05-10-2023,31-12-2024,Payment,2222,0,2222,100,RIYADH,TP,Third Party Property Damage,Yes
01/20/2023/001062-2077268,01/20/2023/001062-10671146,CLM/01/20/2024/00262,27-01-2024,07-02-2024,31-12-2024,Payment,25001,0,25001,25,KHOBAR,TP,Third Party Death or Bodily Injury,Yes
01/20/2023/001058-2078971,01/20/2023/001058-10635861,CLM/01/20/2024/00370,23-01-2024,25-01-2024,31-12-2024,Payment,2222,0,2222,100,RIYADH,TP,Third Party Property Damage,Yes
01/20/2023/000090-2082782,01/20/2023/000090-10550783,CLM/01/20/2024/00603,29-02-2024,02-04-2024,31-12-2024,Payment,1874.3,0,1874.3,100,RIYADH,TP,Third Party Property Damage,Yes
01/20/2023/000085-2086211,01/20/2023/000085-10522460,CLM/01/20/2024/00810,15-03-2024,07-05-2024,31-12-2024,Payment,11230,0,11230,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/000126-2091483,01/20/2023/000126-10605850,CLM/01/20/2024/01199,27-06-2024,04-07-2024,31-12-2024,Payment,1730,0,1730,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/001075-2091771,01/20/2023/001075-10732286,CLM/01/20/2024/01227,30-06-2024,07-07-2024,31-12-2024,Payment,2100,0,2100,100,JEDDAH,TP,Third Party Property Damage,Yes
01/20/2023/000090-2093017,01/20/2023/000090-10771565,CLM/01/20/2024/01322,25-03-2024,18-07-2024,31-12-2024,Payment,701,0,701,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/001051-2094063,01/20/2023/001051-10626812,CLM/01/20/2024/01375,05-07-2024,31-07-2024,31-12-2024,Payment,1000,0,1000,25,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/001029-2095903,01/20/2023/001029-10595610,CLM/01/20/2024/01485,11-03-2024,19-08-2024,31-12-2024,Payment,25001,0,25001,100,JEDDAH,TP,Third Party Property Damage,Yes
01/20/2023/001010-2097364,01/20/2023/001010-10636601,CLM/01/20/2024/01567,27-08-2024,01-09-2024,31-12-2024,Payment,24000,0,24000,100,KHOBAR,TP,Third Party Property Damage,Yes
01/20/2023/001088-2101406,01/20/2023/001088-10679409,CLM/01/20/2024/01752,23-09-2024,08-10-2024,31-12-2024,Payment,1908,0,1908,100,KHOBAR,TP,Third Party Property Damage,Yes
